1990,1,New York city NY,7322564
1990,2,Los Angeles city CA,3485398
1990,3,Chicago city IL,2783726
1990,4,Houston city TX,1630553
1990,5,Philadelphia city PA,1585577
1990,6,San Diego city CA,1110549
1990,7,Detroit city MI,1027974
1990,8,Dallas city TX,1006877
1990,9,Phoenix city AZ,983403
1990,10,San Antonio city TX,935933
1990,11,San Jose city CA,782248
1990,12,Baltimore city MD,736014
1990,13,Indianapolis city IN,731327
1990,14,San Francisco city CA,723959
1990,15,Jacksonville city FL,635230
1990,16,Columbus city OH,632910
1990,17,Milwaukee city WI,628088
1990,18,Memphis city TN,610337
1990,19,Washington city DC,606900
1990,20,Boston city MA,574283
1990,21,Seattle city WA,516259
1990,22,El Paso city TX,515342
1990,23,Cleveland city OH,505616
1990,24,New Orleans city LA,496938
1990,25,Nashville-Davidson TN,488374
1990,26,Denver city CO,467610
1990,27,Austin city TX,465622
1990,28,Fort Worth city TX,447619
1990,29,Oklahoma City city OK,444719
1990,30,Portland city OR,437319
1990,31,Kansas City city MO,435146
1990,32,Long Beach city CA,429433
1990,33,Tucson city AZ,405390
1990,34,St Louis city MO,396685
1990,35,Charlotte city NC,395934
1990,36,Atlanta city GA,394017
1990,37,Virginia Beach city VA,393069
1990,38,Albuquerque city NM,384736
1990,39,Oakland city CA,372242
1990,40,Pittsburgh city PA,369879
1990,41,Sacramento city CA,369365
1990,42,Minneapolis city MN,368383
1990,43,Tulsa city OK,367302
1990,44,Honolulu CDP HI,365272
1990,45,Cincinnati city OH,364040
1990,46,Miami city FL,358548
1990,47,Fresno city CA,354202
1990,48,Omaha city NE,335795
1990,49,Toledo city OH,332943
1990,50,Buffalo city NY,328123
1990,51,Wichita city KS,304011
1990,52,Santa Ana city CA,293742
1990,53,Mesa city AZ,288091
1990,54,Colorado Springs city CO,281140
1990,55,Tampa city FL,280015
1990,56,Newark city NJ,275221
1990,57,St Paul city MN,272235
1990,58,Louisville city KY,269063
1990,59,Anaheim city CA,266406
1990,60,Birmingham city AL,265968
1990,61,Arlington city TX,261721
1990,62,Norfolk city VA,261229
1990,63,Las Vegas city NV,258295
1990,64,Corpus Christi city TX,257453
1990,65,St Petersburg city FL,238629
1990,66,Rochester city NY,231636
1990,67,Jersey City city NJ,228537
1990,68,Riverside city CA,226505
1990,69,Anchorage city AK,226338
1990,70,Lexington-Fayette KY,225366
1990,71,Akron city OH,223019
1990,72,Aurora city CO,222103
1990,73,Baton Rouge city LA,219531
1990,74,Stockton city CA,210943
1990,75,Raleigh city NC,207951
1990,76,Richmond city VA,203056
1990,77,Shreveport city LA,198525
1990,78,Jackson city MS,196637
1990,79,Mobile city AL,196278
1990,80,Des Moines city IA,193187
1990,81,Lincoln city NE,191972
1990,82,Madison city WI,191262
1990,83,Grand Rapids city MI,189126
1990,84,Yonkers city NY,188082
1990,85,Hialeah city FL,188004
1990,86,Montgomery city AL,187106
1990,87,Lubbock city TX,186206
1990,88,Greensboro city NC,183521
1990,89,Dayton city OH,182044
1990,90,Huntington Beach city CA,181519
1990,91,Garland city TX,180650
1990,92,Glendale city CA,180038
1990,93,Columbus city GA,178681
1990,94,Spokane city WA,177196
1990,95,Tacoma city WA,176664
1990,96,Little Rock city AR,175795
1990,97,Bakersfield city CA,174820
1990,98,Fremont city CA,173339
1990,99,Fort Wayne city IN,173072
1990,100,Arlington CDP VA,170936
1980,1,New York city NY,7071639
1980,2,Chicago city IL,3005072
1980,3,Los Angeles city CA,2966850
